Risk_Level,ETF_Name,Region,Asset_Type,Description,Ticker_ISIN,Expense_Ratio,Typical_Use,Category,Sustainability
1, "iShares EUR Government Bond 0–1yr UCITS ETF","Eurozone","Sovereign Bonds (Ultra-Short Term)","Exposure to Eurozone government bonds with maturities <1 year. Minimal credit/interest rate risk.","IE00B3FH7618",0.20,"Capital preservation; near-cash allocation","European","No"
2, "iShares Core Euro Government Bond UCITS ETF","Eurozone","Government Bonds","Tracks large Eurozone sovereign bonds (Germany, France, NL).","IE00B4WXJJ64",0.20,"Low-risk income anchor; conservative portfolios","European","No"
3, "SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF","Eurozone","Short-Term Bonds","Shorter-maturity Euro gov’t bonds for moderate yield with low duration risk.","IE00BNN3KX36",0.15,"Defensive allocation; hedge against volatility","European","No"
4, "iShares Euro Government Bond 7-10yr UCITS ETF","Eurozone","Medium-Duration Bonds","7–10 year Eurozone sovereigns; higher duration sensitivity.","IE00B3VTN290",0.20,"Core bond holding for balanced portfolios","European","No"
5, "iShares MSCI Europe UCITS ETF","Pan-Europe","Large/Mid-Cap Equities","Exposure to 400+ large/mid European firms (UK, France, Germany, etc.).","IE00B1YZSC51",0.35,"Balanced equity exposure; foundation for growth portfolios","European","No"
6, "iShares MSCI Europe Small Cap UCITS ETF","Europe","Small Cap Equities","Tracks small-cap European companies for higher growth potential.","IE00B3VWMM18",0.40,"Adds diversification & higher expected return","European","No"
7, "SPDR MSCI Emerging Markets UCITS ETF","Global (EM)","EM Equities","Large/mid EM stocks (China, India, Brazil, etc.).","IE00B469G107",0.42,"Growth engine; high volatility exposure","European","No"
8, "iShares MSCI Emerging Markets IMI UCITS ETF","Global (EM)","Broad EM Equities","All-cap EM exposure (large, mid, small).","IE00BKM4GZ66",0.18,"High-risk/high-return component for long horizons","European","No"
9, "Vanguard FTSE Emerging Markets UCITS ETF","Global (EM)","EM Equities","Tracks FTSE EM index with over 5,000 stocks.","IE00B3VVMM84",0.22,"Core EM exposure; aggressive portfolios","European","No"
10, "Xtrackers MSCI Emerging Markets Small Cap UCITS ETF","Global (EM)","Small Cap Equities (EM)","Small-cap emerging companies — most volatile ETF in this set.","IE00BG21HG10",0.45,"Tactical allocation; speculative growth","European","No"
